"Marque,""Numéro"""
"BEKO,""1"""
"BOSCH,""2"""
"ELECTROLUX,""3"""
"LG,""4"""
"PHILIPS,""5"""
"SAMSUNG,""6"""
"SONY,""7"""
"WHIRLPOOL,""8"""
"DE DIETRICH,""10"""
"LIEBHERR,""11"""
"GRUNDING,""12"""
"BRANDT,""13"""
"JVC,""14"""
"THOMSON,""15"""
"PROLINE,""16"""
"VIVA,""17"""
"SMEG,""18"""
"FALCON,""19"""
"FAURE,""20"""
"AEG,""21"""
"ARTHUR MARTIN,""22"""
"INDESIT,""23"""
"HOTPOINT,""24"""
"ARISTON,""25"""
"ROSIERE,""26"""
"MIELE,""27"""
"TCL,""28"""
"POLAROID,""29"""
"PANASONIC,""30"""
"VEDETTE,""31"""
"GORENJE,""32"""
"HISENSE,""33"""
"SIEMENS,""34"""
"NEFF,""35"""
"ESSENTIEL B,""36"""
"LISTO,""37"""
"WALBERG,""38"""
"BELLAVITA,""39"""
"SIDEPAR,""40"""
"SOGEDIS,""41"""
"GIAS,""42"""
"INTERFROID,""43"""
"HAIER,""44"""
"FALMEC,""45"""
"CANDY,""46"""
"VESTEL,""47"""
"LA SOMMELIERE,""48"""
